word,a_to_h_letter_count,frequency_score,a_to_h_sequence,match_status,puzzle_id,fen,moves,rating,rating_deviation,popularity,nb_plays,themes,lichess_url,opening_tags,daily_date
"cloak","2","847","ca","exact","H7nid","1r2k3/R7/6p1/2B1br1p/B7/2Pp4/PP1Kb3/7R b - - 5 32","e8d8 c5e7 d8c8 a4d7","1583","75","100","1792","mate mateIn2 middlegame short","https://lichess.org/UqHqd8iv/black#64","",""
"balmy","2","844","ba","exact","36sx9","4k3/2p2pQ1/p7/1p3N2/6P1/2P3RK/qr6/8 w - - 11 42","g3d3 b2h2 h3g3 a2f2","1590","77","100","642","endgame mate mateIn2 short","https://lichess.org/rOM9Ee8O#83","",""
"flash","3","843","fah","exact","AWBo4","8/6PK/R7/2k5/1p6/8/p4r2/8 w - - 0 62","a6a2 f2a2 g7g8q a2h2 h7g6 h2g2 g6f7 g2g8","1622","76","100","1111","crushing endgame master rookEndgame skewer veryLong","https://lichess.org/GxJEeKgo#123","",""
"unwed","2","842","ed","exact","9MEnU","2kr3r/1b1nb3/pp2qpp1/1P2p3/P2P4/N3BN1P/4RPP1/R2Q2K1 b - - 0 22","b7f3 e2c2 c8b8 d1f3","1598","75","100","554","advantage discoveredAttack middlegame short","https://lichess.org/pD3x1HEE/black#44","",""
"early","2","841","ea","exact","tsVco","r3k3/ppp1b2p/4Q3/4p2q/4P3/3P2P1/PP1K1P1P/n1B3NR w q - 1 16","e6f5 e7b4 d2e3 a1c2","1628","76","100","1124","mate mateIn2 middlegame short","https://lichess.org/7CBw5jjw#31","Vienna_Game Vienna_Game_Max_Lange_Defense",""
"churn","2","840","ch","exact","6W0Eg","2r5/p1Pk1pp1/4p3/3pP1P1/7P/6K1/8/2R5 b - - 0 36","c8c7 c1c7 d7c7 h4h5","1584","78","100","98","crushing defensiveMove endgame rookEndgame short","https://lichess.org/x0PYpdqx/black#72","",""
"weedy","3","839","eed","exact","RoOp2","6k1/p4pp1/8/3qb3/1P2r1p1/6P1/P2B1Q1P/R4BK1 w - - 1 31","a1d1 e5d4 d2e3 e4e3 d1d4 d5d4","1605","75","100","909","advantage long middlegame pin","https://lichess.org/m8SY7043#61","",""
"lease","3","838","eae","exact","r5LMg","r6k/2p3p1/5p1p/3Pp2P/3rP1P1/1PQ5/1P1Nq3/1K3R1R w - - 3 33","d2c4 e2e4 c3c2 a8a1 b1a1 e4c2","1663","75","99","788","advantage deflection long middlegame queensideAttack","https://lichess.org/K5fzwbDK#65","",""
"spoof","1","837","f","exact","DZuha","6k1/4Bp1p/1Q4pb/3pP3/P4q2/1P6/2P4P/2RKrR2 w - - 3 41","d1e1 f4d2","1613","76","100","1433","endgame master mate mateIn1 oneMove","https://lichess.org/M9lje8Hu#81","",""
"blend","3","835","bed","exact","mxjpc","8/3k4/2p1R3/1pP1K3/3P3p/1r5P/8/8 w - - 1 48","d4d5 b3e3 e5f6 e3e6 d5e6 d7e8","1601","75","100","238","crushing defensiveMove endgame long rookEndgame","https://lichess.org/b6qMRyXq#95","",""
"salsa","2","834","aa","exact","i80jo","r7/1kp1PP2/2p4p/2b2Q2/3q4/p7/1PP5/2K1RR2 w - - 0 42","f5f6 a3b2 c1b1 a8a1","1588","76","100","653","advancedPawn endgame mate mateIn2 short","https://lichess.org/56QXhuq2#83","",""
"thick","2","833","hc","exact","Y5QU1","8/4kb2/5p1p/2N3p1/B2PPKPP/2r5/8/8 w - - 0 42","h4g5 h6g5 f4f5 c3f3","1601","75","100","674","endgame mate mateIn2 short","https://lichess.org/J7avcQ6x#83","",""
"manic","2","831","ac","exact","oDRVF","r1r3k1/q4p2/3R3p/2n1Q1p1/2B1P3/1P3PBP/P5P1/1K1R4 w - - 1 27","d6h6 a7a2 b1c1 c5b3","1613","75","100","898","mate mateIn2 middlegame pin queensideAttack short","https://lichess.org/gRNQyuLa#53","",""
"blare","3","830","bae","exact","em6YB","2kr4/Qpp1R3/5pp1/8/2Pp1P2/P5q1/1P5r/RK6 b - - 3 26","h2h1 b1a2 h1a1 a2a1 g3e1 e7e1","1650","100","100","40","endgame","https://lichess.org/jV7Bjr2u/black#52","",""
